id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL","Meal course",Categories,Difficulty,Ingredients,"Ingredient Units","Nutritional elements","Nutritional Units",Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date","Одиниці виміру","Приставка до ціни Від",Ціна,"Статус товару","Варіанти оплати",Доставка,"Назва (підказка)","Категорія (підказка)","Ціна (підказка)","Одиниці виміру продукту (підказка)","Статус продукту (підказка)","Опис (підказка)","Теги (підказка)","Варіанти оплати (підказка)","Доставка (підказка)","Зображення (підказка)","Ширина блоку категорії","Зображення для блоку категорії","Фонове зображення категорії","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни ""Від"""
1073,"Закуска ""Гарбузова хата""","<div id=""description"" class=""tab-pane fade in active"">

Закуска — ГАРБУЗОВА ХАТА — зібрала в собі на зиму гостей: гарбузик, папричку, часничок, цибульку.  Всі вони в дуже гостренькому маринадику будуть чекати на вас.

Ну, про склад вітамінів цих друзів не буду вам розписувати – самі знаєте що ї в кого є, так що припасайтеся хто ще не встиг всього зробити любі мої друзі!

Баночки по 0,9 л. – 60 грн.

Локація: Сихів, Спортлайф.

</div>",,20160527,recipe,http://nabazari.in.ua/product/zakuska-garbuzova-xata-900-ml/,http://nabazari.in.ua/wp-content/uploads/ve-1024x768.jpg,"Закуска ""Гарбузова хата""","закуска з гарбуза, гострий гарбуз, гостре асорті, закуска из тыквы","закуска з гарбуза, гострий гарбуз, гостре асорті, закуска из тыквы","Закуска ""Гарбузова хата""",,,Бакалія>Консервації,,,,,,publish,12,zakuska-garbuzova-xata-900-ml,,,0,0,0,open,closed,20160916,шт,,60,3,готівкою,"самовивіз|на склад компанії-перевізника|кур'єр",,,,,,,,,,,,,,,,,,,,,,,,,
1085,"Мед натуральний смачний пахучий з власної сімейної пасіки","Шановне панство!

Пропонуємо вам скуштувати мед з власної пасіки,що розташована на хуторі у Мостиському районі. В наявності:
-травневий мед,
-мед “акація + польові квіти”,
-мед квітковий (літнє різнотрав’я).

Вартість: 0,5 л – 50 грн, 1 л – 100 грн, 3 л та більше за 1 л – 90 грн.
– Забрус з цих сортів меду – 50 грн 1 упаковка (0,5 л)
– Прополіс та свіжа суха перга 1 г – 1 грн.
Локація – Сихів. Доставка в межах міста, при замовленні від 2 л безкоштовна.

Тару бажано на обмін.",,20160527,recipe,http://nabazari.in.ua/product/med-naturalnij-smachnij-paxuchij-z-vlasno%d1%97-simejno%d1%97-pasiki-1000ml/,http://nabazari.in.ua/wp-content/uploads/Miel-Cristalizada.jpg|http://nabazari.in.ua/wp-content/uploads/images.jpg,"Мед натуральний смачний пахучий з власної сімейної пасіки|images","мед натуральний, мед з сімейнох пасіки, мед натуральный, мед из семейной пасеки|","мед натуральний, мед з сімейнох пасіки, мед натуральный, мед из семейной пасеки|","Мед натуральний смачний пахучий з власної сімейної пасіки|",,,Солоденьке>Мед,,,,,,publish,22,med-naturalnij-smachnij-paxuchij-z-vlasno%d1%97-simejno%d1%97-pasiki-1000ml,,,0,0,0,open,closed,20160913,шт,,100,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Чебуреки,"Чебуреки телятина+свинина у співвідношені 1:1.
Продаються у замороженому вигляді – 10 грн/шт.
Смажені – 13 грн/шт і замовлення мінімум 5шт.",,20160527,recipe,http://nabazari.in.ua/product/chebureki/,http://nabazari.in.ua/wp-content/uploads/IMG_20160323_122015-e1462650781342-1024x881.jpg,Чебуреки,"чебуреки, чебуреки домашні, чебуреки, чебуреки с телятиной и свининой","чебуреки, чебуреки домашні, чебуреки, чебуреки с телятиной и свининой",Чебуреки,,,"Домашня кухня>Основні страви",,,,,,publish,52,chebureki,,,0,0,0,open,closed,20160916,шт,,10,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1129,"Хліб житньо-пшеничний з льоном бездріжджовий","Хліб має неповторний аромат, добре нарізається, смакує до багатьох страв.

<strong>Склад хліба:</strong>
Бездріжджова закваска, пшеничне борошно грубого помолу, житнє обдирне борошно, льон, насіння гарбуза мелене, насіння соняшника мелене, кунжут мелений, висівки, цукор, оливкова олія, солод, морська сіль.
Приблизна вага хліба 700 г

Розпочати випікання хліба без дріжджів ми вирішили тому, що в магазинах неможливо купити справді смачний і корисних хліб. Більшість хліба, що пропонує нам промисловість випікається з борошна вишого гатунку та з виростанням термофільних дріжджів. Від нас свідомо забирають те найцінніше, що дарує нам природа.

<i><u>Клітковина:</u></i> під час виробництва білого борошна втрачається клітковина, що міститься у зовнішніх шарах зерна. Клітковина покращує моторику кишечника, зменшує рівень холестерину, виводить токсини з організму, містить вітаміни групи В і Е, мінеральні солі кальцію, фосфору, заліза, магнію…

<i><u>Дріжджі:</u></i> провокують утворення каменів у жовчному міхурі, запорів, розмножуються в організмі, пришвидшують розмноження грибків , погіршують засвоєння вітамінів, що призводить до зниження імунітету…

Термін придатності до 7 днів (не пліснявіє, не черствіє).

Упакований в харчову плівку, що дає можливість довше зберегти свіжість та аромат хліба.

Можлива доставка за домовленістю, самовивіз.

Мінімальне замовлення – 1 хліб.

Оплата готівкою при отриманні або на картку Приватбанк.

Спробуйте і переконайтеся в якосі. Тепер у Вас є альтернатива магазинному хлібу.

Звертайтеся, відповімо на всі запиття, цінуємо  кожного клієнта !!!",,20160527,recipe,http://nabazari.in.ua/product/xlib-zhitno-pshenichnij-z-lonom-bez-drizhdzhiv-700-gr/,http://nabazari.in.ua/wp-content/uploads/ZHytno-pshenychnyj-kopiya-1024x768.jpg,"Хліб житньо-пшеничний з льоном бездріжджовий","хліб бездріжджовий, хліб житньо-пшеничний, хліб з льоном, хлеб бездрожжевой, хлеб","хліб бездріжджовий, хліб житньо-пшеничний, хліб з льоном, хлеб бездрожжевой, хлеб","Хліб житньо-пшеничний з льоном бездріжджовий",,,"Домашня кухня|Мучне>Хліб",,,,,,publish,30,xlib-zhitno-pshenichnij-z-lonom-bez-drizhdzhiv-700-gr,,,0,0,0,open,closed,20160916,шт,,25,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Млинці,"<div id=""description"" class=""tab-pane fade in active"">

Улюблені млинці зникають із тарілки моментально, а ось готуються не так швидко. Не у всіх вистачає часу порадувати своїх рідних таким смачним сніданком (обідом чи вечерею). Вибір продуктів чималий – вироби з різноманітними начинками, солодкі та солоні, традиційні млинці та панкейки. Це чудове рішення для тих, кому 24 години у добі явно мало.

</div>",,20160530,recipe,http://nabazari.in.ua/product/mlinci/,http://nabazari.in.ua/wp-content/uploads/72156039_3_644x461_gotovlyu-domashnie-vareniki-pelmeni-blinchiki-manty-golubtsy-prochie-uslugi.jpg,Млинці,,,Млинці,,,"Домашня кухня>Млинці",,,,,,publish,90,mlinci,,,0,0,0,open,closed,20160916,шт,,50,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1187,"Тушка кролика","<div id=""description"" class=""tab-pane fade in active"">

Свіжа домашня тушка кролика 85 грн. за кілограм (середня вага 1,6 кг-2,5 кг).
Локація Дубляни-Балатон.
Можлива платна доставка.

</div>",,20160530,recipe,http://nabazari.in.ua/product/tushka-krolika/,http://nabazari.in.ua/wp-content/uploads/12376530_781690928603014_919534886558577152_n.jpg,"Тушка кролика","Тушка кролика","Тушка кролика","Тушка кролика",,,"М'яско &amp; Ко>М'ясо",,,,,,publish,54,tushka-krolika,,,0,0,0,open,closed,20160916,шт,,85,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1189,"Домашня сметанка","<div id=""description"" class=""tab-pane fade in active"">

Дуже смачна <em><strong>домашня сметанка</strong></em> від своєї корови.

</div>",,20160530,recipe,http://nabazari.in.ua/product/domashnya-smetanka/,http://nabazari.in.ua/wp-content/uploads/smetana-banka.jpg,"Домашня сметанка","Домашня сметанка","Домашня сметанка","Домашня сметанка",,,"Молоко &amp; КО>Молоко, сметана, масло",,,,,,publish,61,domashnya-smetanka,,,0,0,0,open,closed,20160916,шт,,70,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1191,"Сік грушевий натуральний","<div id=""description"" class=""tab-pane fade in active"">

<strong>Сік грушевий натуральний –</strong> зберігає всі корисні властивості груш і є цінним цілющим напоєм. За смаком грушевий сік є дуже солодкий. Банка 3л.

</div>",,20160530,recipe,http://nabazari.in.ua/product/sik-grushevij-naturalnij-3l/,http://nabazari.in.ua/wp-content/uploads/CIMG83262-768x1024.jpg,"Сік грушевий натуральний","Сік грушевий натуральний","Сік грушевий натуральний","Сік грушевий натуральний",,,Напої>Соки,,,,,,publish,24,sik-grushevij-naturalnij-3l,,,0,0,0,open,closed,20160914,шт,,55,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1199,"В'ялені помідори ""Оригінальні""","<div id=""description"" class=""tab-pane fade in active"">

Своєрідне поєднання смаку в’ялених помідорів з ароматною соняшниковою олією та традиційним насінням кропу. Мають виражений український акцент та 100 % українське походження.

Склад: помідори, олія соняшникова нерафінована першого віджиму, часник, зерна кропу, сіль.

Маса 275 г.

</div>",,20160531,recipe,http://nabazari.in.ua/product/originalni-pomidori/,http://nabazari.in.ua/wp-content/uploads/pic3.jpg,"В'ялені помідори ""Оригінальні"", Українські в'ялені помідори","Своєрідне поєднання смаку в’ялених помідорів з ароматною соняшниковою олією та традиційним насінням кропу. Мають виражений український акцент та 100 % українське походження. Склад: помідори, олія соняшникова нерафінована першого віджиму, часник, зерна кропу, сіль. Маса 275 г. в`ялені помідори вьялені кріп олія помідори сіль","Своєрідне поєднання смаку в’ялених помідорів з ароматною соняшниковою олією та традиційним насінням кропу. Мають виражений український акцент та 100 % українське походження. Склад: помідори, олія соняшникова нерафінована першого віджиму, часник, зерна кропу, сіль. Маса 275 г. в`ялені помідори вьялені кріп олія помідори сіль","В'ялені помідори ""Оригінальні"", Українські в'ялені помідори",,,Бакалія>Консервації,,,,,,publish,25,originalni-pomidori,,,0,0,0,open,closed,20160914,шт,,"75 грн/шт",1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1202,"В'ялені помідори ""Пікантні""","Виразна гра легкої гостринки червоного перцю з ароматом розмарину надає помідорам неповторного пікантного смаку.

Склад: помідори, олія соняшникова рафінована, олія оливкова Extra Virgin, часник, розмарин, гострий перець, сіль.

Маса 275 г.",,20160601,recipe,http://nabazari.in.ua/product/pikantni-pomidori/,http://nabazari.in.ua/wp-content/uploads/pikantni.jpg,"В'ялені помідори ""Пікантні"", Українські в'ялені помідори","В'ялені помідори ""Пікантні"", Українські в'ялені помідори","В'ялені помідори ""Пікантні"", Українські в'ялені помідори","В'ялені помідори ""Пікантні"", Українські в'ялені помідори",,,Бакалія>Консервації,,,,,,publish,25,pikantni-pomidori,,,0,0,0,open,closed,20160914,шт,,75,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
